method,frac_removed,prob,example_idx
ATTN,0.2,0.935516893863678,10
ATTN,0.3,0.9391663074493408,10
ATTN,0.5,0.9373005032539368,10
ATTN,0.0,0.8033019304275513,11
ATTN,0.05,0.835917592048645,11
ATTN,0.1,0.8800160884857178,11
ATTN,0.2,0.8639981150627136,11
ATTN,0.3,0.8609908223152161,11
ATTN,0.5,0.8263427019119263,11
ATTN,0.0,0.9053274989128113,12
ATTN,0.05,0.914465606212616,12
ATTN,0.1,0.900753378868103,12
ATTN,0.2,0.920856237411499,12
ATTN,0.3,0.85208660364151,12
ATTN,0.5,0.8969264030456543,12
ATTN,0.0,0.7598718404769897,13
ATTN,0.05,0.6480771899223328,13
ATTN,0.1,0.4618328809738159,13
ATTN,0.2,0.3148884177207947,13
ATTN,0.3,0.2407875806093216,13
ATTN,0.5,0.3588581681251526,13
ATTN,0.0,0.9376199245452881,14
ATTN,0.05,0.9297806024551392,14
ATTN,0.1,0.9305221438407898,14
ATTN,0.2,0.9268589019775391,14
ATTN,0.3,0.9330830574035645,14
ATTN,0.5,0.9330682158470154,14
ATTN,0.0,0.8154821395874023,15
ATTN,0.05,0.8564868569374084,15
ATTN,0.1,0.8112327456474304,15
ATTN,0.2,0.5506219863891602,15
ATTN,0.3,0.7705127596855164,15
ATTN,0.5,0.9152269959449768,15
ATTN,0.0,0.8953236937522888,16
ATTN,0.05,0.8441014289855957,16
ATTN,0.1,0.8212774395942688,16
ATTN,0.2,0.8924660682678223,16
ATTN,0.3,0.9343167543411255,16
ATTN,0.5,0.9256277680397034,16
ATTN,0.0,0.9258288145065308,17
ATTN,0.05,0.9256940484046936,17
ATTN,0.1,0.925025463104248,17
ATTN,0.2,0.9122436046600342,17
ATTN,0.3,0.8544874787330627,17
ATTN,0.5,0.9274716377258301,17
ATTN,0.0,0.9191759824752808,18
ATTN,0.05,0.9355143904685974,18
ATTN,0.1,0.9422023892402649,18
ATTN,0.2,0.9463114142417908,18
ATTN,0.3,0.9459811449050903,18
ATTN,0.5,0.9493226408958435,18
ATTN,0.0,0.9218934178352356,19
ATTN,0.05,0.9268125295639038,19
ATTN,0.1,0.9248444437980652,19
ATTN,0.2,0.9024896621704102,19
ATTN,0.3,0.8812050819396973,19
ATTN,0.5,0.9420784115791321,19
ATTN,0.0,0.9069944024085999,20
ATTN,0.05,0.8835399150848389,20
ATTN,0.1,0.9019527435302734,20
ATTN,0.2,0.9065420627593994,20
ATTN,0.3,0.8049361109733582,20
ATTN,0.5,0.9019930958747864,20
ATTN,0.0,0.9266514778137207,21
ATTN,0.05,0.9275310039520264,21
ATTN,0.1,0.9273994565010071,21
ATTN,0.2,0.9293085336685181,21
ATTN,0.3,0.9168019890785217,21
ATTN,0.5,0.9295560717582703,21
ATTN,0.0,0.8972264528274536,22
ATTN,0.05,0.9084018468856812,22
ATTN,0.1,0.8512545824050903,22
ATTN,0.2,0.8806702494621277,22
ATTN,0.3,0.7860856652259827,22
ATTN,0.5,0.2069547325372696,22
ATTN,0.0,0.38411855697631836,23
ATTN,0.05,0.2895743250846863,23
ATTN,0.1,0.1476449817419052,23
ATTN,0.2,0.022662373259663582,23
ATTN,0.3,0.023839903995394707,23
ATTN,0.5,0.020499372854828835,23
ATTN,0.0,0.9477038383483887,24
ATTN,0.05,0.9467823505401611,24
ATTN,0.1,0.9474274516105652,24
ATTN,0.2,0.9470341801643372,24
ATTN,0.3,0.9479821920394897,24
ATTN,0.5,0.9456886053085327,24
ATTN,0.0,0.9293710589408875,25
ATTN,0.05,0.9247373938560486,25
ATTN,0.1,0.8875938653945923,25
ATTN,0.2,0.9259140491485596,25
ATTN,0.3,0.48909881711006165,25
ATTN,0.5,0.4472019672393799,25
ATTN,0.0,0.7162548899650574,26
ATTN,0.05,0.5101084113121033,26
ATTN,0.1,0.48291441798210144,26
ATTN,0.2,0.5836424827575684,26
ATTN,0.3,0.42699891328811646,26
ATTN,0.5,0.509387195110321,26
ATTN,0.0,0.7387443780899048,27
ATTN,0.05,0.7563008069992065,27
ATTN,0.1,0.5688556432723999,27
ATTN,0.2,0.5137510895729065,27
ATTN,0.3,0.8821430802345276,27
ATTN,0.5,0.9323471784591675,27
ATTN,0.0,0.9504015445709229,28
ATTN,0.05,0.9477041363716125,28
ATTN,0.1,0.9488648772239685,28
ATTN,0.2,0.9508949518203735,28
ATTN,0.3,0.8459941148757935,28
ATTN,0.5,0.7933682203292847,28
ATTN,0.0,0.9398070573806763,29
ATTN,0.05,0.9393296241760254,29
ATTN,0.1,0.9352827668190002,29
ATTN,0.2,0.897109866142273,29
ATTN,0.3,0.8951281309127808,29
ATTN,0.5,0.8937941789627075,29
ATTN,0.0,0.8996103405952454,30
ATTN,0.05,0.8817877173423767,30
ATTN,0.1,0.9075502753257751,30
ATTN,0.2,0.8561171889305115,30
ATTN,0.3,0.9038825631141663,30
ATTN,0.5,0.8832995891571045,30
ATTN,0.0,0.7414029836654663,31
ATTN,0.05,0.71059250831604,31
ATTN,0.1,0.29795950651168823,31
ATTN,0.2,0.42218297719955444,31
ATTN,0.3,0.9241717457771301,31
ATTN,0.5,0.8658238649368286,31
ATTN,0.0,0.8704299926757812,32
ATTN,0.05,0.8446232676506042,32
ATTN,0.1,0.8825198411941528,32
ATTN,0.2,0.854529857635498,32
ATTN,0.3,0.8895898461341858,32
ATTN,0.5,0.9299058318138123,32
ATTN,0.0,0.5204124450683594,33
ATTN,0.05,0.5690527558326721,33
ATTN,0.1,0.5162272453308105,33
ATTN,0.2,0.6880925297737122,33
ATTN,0.3,0.6220805048942566,33
ATTN,0.5,0.5858989953994751,33
ATTN,0.0,0.8627821207046509,34
ATTN,0.05,0.8558655381202698,34
ATTN,0.1,0.8489857316017151,34
ATTN,0.2,0.9011054635047913,34
ATTN,0.3,0.9260829091072083,34
ATTN,0.5,0.8492658138275146,34
ATTN,0.0,0.5729468464851379,35
ATTN,0.05,0.22959980368614197,35
ATTN,0.1,0.1867443323135376,35
ATTN,0.2,0.5166546106338501,35
ATTN,0.3,0.25818631052970886,35
ATTN,0.5,0.5446386933326721,35
ATTN,0.0,0.5064067840576172,36
ATTN,0.05,0.43552181124687195,36
ATTN,0.1,0.5931105613708496,36
ATTN,0.2,0.6188094019889832,36
ATTN,0.3,0.6269855499267578,36
ATTN,0.5,0.9281574487686157,36
